Author,Comment,Likes,Video ID,Translated_Comment
@kuldeep96303,Charge nahi ho rahi,0,8zUs_wCJuvQ,Not charging
@DineshKashyap-t7w,Mere paas hai,0,8zUs_wCJuvQ,I have
@Mehdiya____h,Price please 🥺,0,8zUs_wCJuvQ,Price please 🥺
@UnRevealedReactions,Fire Bold Snapp laughing While watching this 😂,0,8zUs_wCJuvQ,Fire Bold Snapp laughing While watching this 😂
@Kajalsingh-qh6tz,Price,0,8zUs_wCJuvQ,Price
@user-sahil999yt,I have❤,0,8zUs_wCJuvQ,I have❤
@JanviMahesh-r7q,Next video me batana,0,8zUs_wCJuvQ,Next video me batana
@JanviMahesh-r7q,Bhai price kitna hai,0,8zUs_wCJuvQ,How much is brother price
@a.chaithanyaa.chaithanya8517,Money,0,8zUs_wCJuvQ,Money
@kadarhajihaji1420,Amazing watch but no camera fire bolt snapp is best,1,8zUs_wCJuvQ,Amazing watch but no camera fire bolt snapp is best
@vipulRabari-y5u,Price,1,8zUs_wCJuvQ,Price
@AbdurRahim-b9l,taka,0,8zUs_wCJuvQ,take
@ThamilarasiMMEENAKSHISUNDARAM,Amount,0,8zUs_wCJuvQ,Amount
@Zerozfan,Prise,0,8zUs_wCJuvQ,Prise
@N.srinivasReddySrinu,Price,0,8zUs_wCJuvQ,Price
@dastanshardworkwarsetcra-vw3yv,I love the music please tell me 😂 ❤,0,8zUs_wCJuvQ,I love the music please tell me 😂 ❤
@PoliceInspector1,Waste,1,8zUs_wCJuvQ,Waste
@SkNezamuddin-x8t,Yah wala mujhko bhi chahie,0,8zUs_wCJuvQ,I want this one too
@valliSyed-t1k,Bhaiya mujhe watch the way please comment,0,8zUs_wCJuvQ,"Brother, please comment those who were watching me"
@AmisseAlbertno,😂eu gostei muito😅,0,8zUs_wCJuvQ,😂 I liked it a lot😅
@WhySoTechie,*Buy Fire Boltt Dream From Here* 👉https://fas.st/Q9gZLv,55,WxikyoQM4qs,*Buy Fire Boltt Dream From Here* 👉https://fas.st/Q9gZLv
@ITZ._.BIDHBU,Me watching on that fire bollt dream watch,0,WxikyoQM4qs,Me watching on that fire bollt dream watch
@aravindmahi2936,Can this be used without sim card? Amd what about heating issue,0,WxikyoQM4qs,Can this be used without sim card? Amd what about heating issue
@MunniyaSamy-iz9ug,"குட் மார்னிங் நான் இங்க வச்சிருக்க வாட்ச் நல்லா இருக்கு எனக்கு இதே மாதிரி ஒன்னு ஆர்டர் எனக்கு இதே மாதிரி ஒன்னு வாங்கி தரீங்களா எனக்கு கொரியர்ல அனுப்பிவிடுறிங்களா அட்ரஸ் ஒன்னு நினைக்கிறேன்னா விருதுநகர் மாவட்டம் அருப்புக்கோட்டை 23 nmv சுபம் தெரு நாய், நீ எவ்வளவு காசு இருந்தாலும் சரி நான் எனக்கு இது ஆர்டர் பண்ணி எப்படியாச்சும் வாங்கி தாங்க 🥹😄",0,WxikyoQM4qs,Good Morning I Watch This is the Watch Nalla.
@pugaldinesh8435,"Waste of money, don't buy",0,WxikyoQM4qs,"Waste of money, don't buy"
@unknowngaming9463,bro give one to me 😂😂😅😅,0,WxikyoQM4qs,bro give one to me 😂😂😅😅
@cleonicesantos4723,Quanto e,0,WxikyoQM4qs,How much is
@drveeramdmedicine7139,Worrest,0,WxikyoQM4qs,Worrest
@Amongus-i1n,So cool what is the price in Nepal,0,WxikyoQM4qs,So cool what is the price in Nepal
@Miss.lilushka,Цена ?,0,WxikyoQM4qs,Price?
@khalidzia535,Price,0,WxikyoQM4qs,Price
@Sana-k3o,Hotspot hai isme,0,WxikyoQM4qs,Hotspot is in it
@SomendraYadav63,Rupaye bataiye,0,WxikyoQM4qs,Tell me the money
@nadinis647,Bro I want that blue smart watch ❤❤❤❤,0,WxikyoQM4qs,Bro I want that blue smart watch ❤❤❤❤
@Kanheremalhar,Father of iWatch 😂,0,WxikyoQM4qs,Father of iWatch 😂
@CristinaRamirez-p1z,makano poh yong relo,0,WxikyoQM4qs,compan
@narasimhansrly,Strong vibration ?,0,WxikyoQM4qs,Strong vibration ?
@jadavyogesh7755,Hi sir muje kharid ni he apke pass he to muje dedo me apko payment kar deta hu,1,WxikyoQM4qs,"Sir sir, I have new to buy, then you have to pay me in the pay"
@NEETard.,Nice TOY smartwatch,0,WxikyoQM4qs,Nice TOY smartwatch
@dipasonariya4002,Buy a smart watch kitne Ki Hai,0,WxikyoQM4qs,How much is Buy Smart Watch
@WhySoTechie,*Buy Fire Boltt Dream From Here* 👉https://fas.st/Q9gZLv,14,31Yg6NO7fMw,*Buy Fire Boltt Dream From Here* 👉https://fas.st/Q9gZLv
@freefiregaming-tb6hj,"Bhai sound
 kahan se aaega😂😂😂",0,31Yg6NO7fMw,"Bhai sound
kahan se aaega😂وump"
@444ARMY1M,I exclusive wach I am buying this smart 🎉,0,31Yg6NO7fMw,I exclusive wach I am buying this smart 🎉
@rinkupaul603,Sir can you make a video on Maptronicz 1.4 hd display smart watch,1,31Yg6NO7fMw,Sir can you make a video on Maptronicz 1.4 hd display smart watch
@gauravvishwakarma7981,Sir IPhone 13 me support krta hai kya ye watch ?,0,31Yg6NO7fMw,Does this watch support in Sirifone 13?
@aalamansari8127,Fire boult Android watch price 4700,0,31Yg6NO7fMw,Fire boult Android watch price 4700
@Yatrigram,Battery kaisa chalta he,0,31Yg6NO7fMw,How does the battery go
@AshaRani-i1p,Price kitna hai,0,31Yg6NO7fMw,How much is the price
@akshayshinde1966,This product is actually waste of money,0,31Yg6NO7fMw,This product is actually waste of money
@Rohan-ol9uf,ETA Dam Koto,0,31Yg6NO7fMw,How much is it the price
@usharani-m7x,Bhai s16 vs dream smart watch,0,31Yg6NO7fMw,Bhai s16 vs dream smart watch
@AhmadAli-r9q9p,How is price,0,31Yg6NO7fMw,How is price
@HarisAhmed-r3j,Yaar Pakistan mai nhai aae abhi tak 😔,1,31Yg6NO7fMw,Yaar Pakistan Mai Nhai Aae Abhi Tak 😔
@FlamingLeo165,"Bro I bought this this is actually waste of money it's 7000 rs

This is a scam do not buy 🙏",11,31Yg6NO7fMw,"Bro I bought this this is actually waste of money it's 7000 rs

This is a scam do not buy 🙏"
@rahulvijay1781,Is that temple run and pubg 💀,0,31Yg6NO7fMw,Is that temple run and pubg 💀
@eknoobdagaming,Thats how a smartwatch should be.,0,31Yg6NO7fMw,Thats how a smartwatch should be.
@focuskarthik,Dont buy this worst watch waste of cost,0,31Yg6NO7fMw,Dont buy this worst watch waste of cost
@ArhamBasit-b9d,where are you from,1,31Yg6NO7fMw,where are you from
@shaikhmohsin8236,Battery bekar hai bahaot fast utarri hai,0,31Yg6NO7fMw,Battery iste is very fast
@RamcharanRajbhar-td4xu,Give me tomorrow evening,0,31Yg6NO7fMw,Give me tomorrow evening
@vinitpal7230,Bhai plz ye watch ka lock kesa crack ho ga,0,6dC33jEkzoQ,Please plz you watch
@AshaDevi-f4h,Subscribe krunga to ak do de batav,0,6dC33jEkzoQ,If I subscribe then tell me one or two
@ADITYA.GAMING1349,Mere paas hai,0,6dC33jEkzoQ,I have
@mtantimanova8465,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0,6dC33jEkzoQ,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
@Didar788,🎉😮😮😂😢😮,0,6dC33jEkzoQ,🎉😮😮😂😢😮
@Eygicmvkxnchkg,Õyini ichidayu,1,6dC33jEkzoQ,Inside вyyi
@xalison1866,Bro link please,0,6dC33jEkzoQ,Bro link please
@komalyadav-e8p,I like this,0,6dC33jEkzoQ,I like this
@BaluRaut-s7d,Bhai Mai bhi le raha hu,0,6dC33jEkzoQ,Brother i am also taking
@nisarijju2261,Can we can play game,0,6dC33jEkzoQ,Can we can play game
@HimanshuKumar-e7q5t,My dream 😮😮 please send me,0,6dC33jEkzoQ,My dream 😮😮 please send me
@GigaChad79867,Shadow fight 2😮😮😮,0,6dC33jEkzoQ,Shadow fight 2😮😮😮
@khaujhmoobnyablaj6141,Hfkhf tku,0,6dC33jEkzoQ,Hfkhf tku
@subhankarghosh6498,"How to crack password. 

I forgot, unable to unlock",0,6dC33jEkzoQ,"How to crack password. 

I forgot, unable to unlock"
@Gamingopytchannel,In nice 🙂,0,6dC33jEkzoQ,In nice 🙂
@BLASTERo2o,Waste of money,0,6dC33jEkzoQ,Waste of money
@dharitribasumatary7041,This watch is my favourite,2,6dC33jEkzoQ,This watch is my favourite
@brajeshkumar7248,Ultra5gWatchMugaDado,1,6dC33jEkzoQ,Ultra5gWatchMugaDado
@Nirab-je6sp,❤❤❤,0,6dC33jEkzoQ,❤❤❤
@Mahir-y2x,Open box,0,6dC33jEkzoQ,Open box
@aryanpathak16,Thanks sir example,0,n-ku9qSpmgA,Thanks sir example
@mohamedshafeerahman9764,Can I use same number on my watch and iphone ?,0,n-ku9qSpmgA,Can I use same number on my watch and iphone ?
@Taaan_jiro,"It's not a gamechanger at all, it's just a low battery life piece of crap(btw I have one)",0,n-ku9qSpmgA,"It's not a gamechanger at all, it's just a low battery life piece of crap(btw I have one)"
@VijayRajput08,Bhaiya mene yeh watch firebolt se order kri thi and yeh Delhivery ke karan Delhi me ataki hui h plz helpp,0,n-ku9qSpmgA,"Brother, I ordered this watch from Firebolt and this is stuck in Delhi due to this delhiveer"
@Ajaypal-rx3xs,Awesome video and Awesome watch which I want❤ Thanks Bro.,0,n-ku9qSpmgA,Awesome video and Awesome watch which I want❤ Thanks Bro.
@lnmanat8046,Price kiya he,0,n-ku9qSpmgA,Price is done
@jayprakashgupta9459,WiFi hot-spot feature?,0,n-ku9qSpmgA,WiFi hot-spot feature?
@AyaanWani369,I want it on 22 June 2024,0,n-ku9qSpmgA,I want it on 22 June 2024
@ioruler9896,V cn cheat in exam vd ths watch,0,n-ku9qSpmgA,V cn cheat in exam vd ths watch
@natureforyou4508,Can we connect with our phone and access all the apps as in phone??,0,n-ku9qSpmgA,Can we connect with our phone and access all the apps as in phone??
@AkomolafeGrace-qb2fs,Pls can we get it in nigerian,0,n-ku9qSpmgA,Pls can we get it in nigerian
@ushapadmanabhan3550,How to pair or connect airdopes in fire boltt dream,0,n-ku9qSpmgA,How to pair or connect airdopes in fire boltt dream
@shruthyneelamma86,Can we use same phone number,0,n-ku9qSpmgA,Can we use same phone number
@pradeepp7842,I think public will be able to hear what the person is speaking from the other end when I dont use a BT headphone. Is this correct?,0,n-ku9qSpmgA,I think public will be able to hear what the person is speaking from the other end when I dont use a BT headphone. Is this correct?
@sanjeevg.s4777,"No this is totally *WRONG* review.🫢

This watch is a *TRASH* . 

Don't fall for this paid reviews!!

Watch *A2D* channel's Review..🫡

This watch itself is a *SPAM* 😢",0,n-ku9qSpmgA,"No this is totally *WRONG* review.🫢

This watch is a *TRASH* . 

Don't fall for this paid reviews!!

Watch *A2D* channel's Review..🫡

This watch itself is a *SPAM* 😢"
@jayaganthan1,A2D army?,1,n-ku9qSpmgA,A2D army?
@prakasharc7520,No one has been able to confirm where we can get stainless steel strap for Fireboltt dream,0,n-ku9qSpmgA,No one has been able to confirm where we can get stainless steel strap for Fireboltt dream
@befit1623,Can we send voice chat in it,0,n-ku9qSpmgA,Can we send voice chat in it
@mayankpatel3737,Brilliant 👍,0,n-ku9qSpmgA,Brilliant 👍
@Voice..,"After overuse think about samsung S6 blast....

Mini bomb in wrist😂😂😂",0,n-ku9qSpmgA,"After overuse think about samsung S6 blast....

Mini bomb in wrist😂😂😂"
