Author,Comment,Likes,Video ID,Translated_Comment
@sureshaghicha8610,Can you make a detailed video on how to store heart rate data.  Need to know for how many days it stores data and how can it be retrieved and viewed (digital format / graphical format - ECG ).,0,rtAV6MqU5OI,Can you make a detailed video on how to store heart rate data.  Need to know for how many days it stores data and how can it be retrieved and viewed (digital format / graphical format - ECG ).
@ModelRuthik,Can we listen music in this watch by connecting bluetooth,0,rtAV6MqU5OI,Can we listen music in this watch by connecting bluetooth
@vaibhavdesai1000,How to track swimming activity...no option for that,0,rtAV6MqU5OI,How to track swimming activity...no option for that
@sagaragrawal893,Can we replace metal black strap with nylon one ?,1,rtAV6MqU5OI,Can we replace metal black strap with nylon one ?
@Heartiestfel,Bro please tell me non fitness tracker watch,0,rtAV6MqU5OI,Bro please tell me non fitness tracker watch
@StudyGirls-rq2kn,Always on display millega kya,0,rtAV6MqU5OI,Always on display millega kya
@taekookthesoulmates5656,"Hi sir, women k liye fitness health mein kon si smat watch best hai, plz suggest 

Sir noise Icon4 and pro5 max mein kon si best hai fitness health k liye age purchase krni hai",0,rtAV6MqU5OI,"Hi sir, women k liye fitness health mein kon si smat watch best hai, plz sugest
Sir noise icon 4 and pro 5 max mein konsi best hai fitness health k liye age purchase krni hai"
@technoking734,Rather buy nothing watch than this these noise watches,0,rtAV6MqU5OI,Rather buy nothing watch than this these noise watches
@shubhamraghuvansi5318,"I am buy Colour fit pro 5,
And when come any call my watch automatically reboot",0,rtAV6MqU5OI,"I am buy Colour fit pro 5,
And when come any call my watch automatically reboot"
@AH1990N,Plz reply...To aapke hisab se kaunsi smart watch best hai....,1,rtAV6MqU5OI,Plz Reply ... So according to which smart watch you are best ....
@washimkhan8806,"As of the UI, I'm not a big fan of Noise, always laggy..",12,rtAV6MqU5OI,"As of the UI, I'm not a big fan of Noise, always laggy.."
@abhisheksamal5581,Does it compatible with ios,0,rtAV6MqU5OI,Does it compatible with ios
@ishaansareen,Misguiding with fake code,0,rtAV6MqU5OI,Misguiding with fake code
@jayendrapatil3821,What about GPS availability,0,rtAV6MqU5OI,What about GPS availability
@harjotsandhu2354,"Hi Dear, what is the other color you have shown is that the vintage Brown. I see the strap color is very different to what shown online.",1,rtAV6MqU5OI,"Hi Dear, what is the other color you have shown is that the vintage Brown. I see the strap color is very different to what shown online."
@irushitjain,I have notice distance (km) is not seen in any of watch faces last I had use in colorfit pro 2,1,rtAV6MqU5OI,I have notice distance (km) is not seen in any of watch faces last I had use in colorfit pro 2
@shreyanshkrishna4487,"Hey,you are fine right?",0,rtAV6MqU5OI,"Hey,you are fine right?"
@ashutoshmohite9913,noise colorfit pro 4 alpha to noice colorfit  pro 5 max campair video,0,rtAV6MqU5OI,noise colorfit pro 4 alpha to noice colorfit  pro 5 max campair video
@SasankDhulipudi99,Waiting for your cult shock x review...,0,rtAV6MqU5OI,Waiting for your cult shock x review...
@abhiramab8950,I got noise pro 5 for 2800 rupees,3,rtAV6MqU5OI,I got noise pro 5 for 2800 rupees
@HarshMishra-2007,Bhai noise colour fit pro 5.  Thik rhegi,0,AKxYV-WBjY0,Brother Noise Color Fit Pro 5. Will be fine
@Enfield-mj2kf,Is it worth pricing?? Or should i go for noise halo 2 which is fall under same category???,0,AKxYV-WBjY0,Is it worth pricing?? Or should i go for noise halo 2 which is fall under same category???
@nashmarket1449,What price u got ?,1,AKxYV-WBjY0,What price u got ?
@emadmahmood3523,Give me for free ☹️,0,oEdRs6RvqMk,Give me for free ☹️
@WhySoTechie,"*Buy Noise ColorFit Pro 5 From Here* 
Official👉https://fas.st/ohI2r
Amazon👉https://amzn.to/3QIPqh4",3,pYKc8S8wAqU,"*Buy Noise ColorFit Pro 5 From Here* 
Official👉https://fas.st/ohI2r
Amazon👉https://amzn.to/3QIPqh4"
@shrutibharadwajsingh8715,Android smartwatch??,0,pYKc8S8wAqU,Android smartwatch??
@Uk04goswamivlogs,Charger wireless?,0,pYKc8S8wAqU,Charger wireless?
@maniman8196,How to set 3d wallpaper in this watch,0,pYKc8S8wAqU,How to set 3d wallpaper in this watch
@vaibhavdesai1000,100 workout modes but no swimming mode.....,1,pYKc8S8wAqU,100 workout modes but no swimming mode.....
@yusufalbaksh,Price?,0,pYKc8S8wAqU,Price?
@Hii_maniish,🤑🤑,1,pYKc8S8wAqU,🤑🤑
@arushikumari5715,Wow,1,pYKc8S8wAqU,Wow
@chetanpaldhikar,Itni mehnat bhai? K tech burner ka pura video chaap diya? Sirf voice over pe itni mehnat. Chutiya bnaake bhai content create nahi hota.,0,Qd1ajMsbAW0,So much brother?Printed full video of K Tech Burner?Only on the voice over.Bhai content is not creating by making pussy.
@sonyspeaker3781,Improve your voice,0,Qd1ajMsbAW0,Improve your voice
@prithachakravarty9697,Resolution hota hai bhai,1,Qd1ajMsbAW0,Resolution is brother
@SKATAHAR-kn4oq,Big fan❤,0,Qd1ajMsbAW0,Big fan❤
@SGF_GAMING94,Big fan❤,0,Qd1ajMsbAW0,Big fan❤
@sunilmolkuwa8969,Muje toh black elite 5 pro max 4456rs me mila,1,Qd1ajMsbAW0,Muje toh black elite 5 pro max 4456rs me mila
