Author,Comment,Likes,Video ID,Translated_Comment
@TechMadeEasyNow,"📍Find more helpful videos here ➡https://bit.ly/LearnMyFit3
📍Here are the top recommended accessories for the Fit 3 ➡https://amzn.to/4e6EbIG
⌚Buy another Samsung Fit 3 ➡https://amzn.to/4e45143",2,1y8E1qcIISc,"📍Find more helpful videos here ➡https://bit.ly/LearnMyFit3
📍Here are the top recommended accessories for the Fit 3 ➡https://amzn.to/4e6EbIG
⌚Buy another Samsung Fit 3 ➡https://amzn.to/4e45143"
@raeesaliraza5791,Does it turn on automatically when you rotate the watch to see the time?,0,1y8E1qcIISc,Does it turn on automatically when you rotate the watch to see the time?
@TexasMoney2223,Can I leave the phone in the car and run and listen to music or does the phone have to be close by,0,1y8E1qcIISc,Can I leave the phone in the car and run and listen to music or does the phone have to be close by
@Heyimlilith,I don't receive any notification except calls. Whyy?????,0,1y8E1qcIISc,I don't receive any notification except calls. Whyy?????
@nzer57,Geez a spy device masquerading as a fitness device. 🤔🤔🤔,0,1y8E1qcIISc,Geez a spy device masquerading as a fitness device. 🤔🤔🤔
@danisaur47,Can fit 3 display dual time for travelling? And does it have reminders?,0,1y8E1qcIISc,Can fit 3 display dual time for travelling? And does it have reminders?
@SeeSaw99,I just found out today that my fit 2 was mo longer supported when I bought the s24 ultra. I was crushed lol. I had no idea the fit3 even existed until now. Great video,0,1y8E1qcIISc,I just found out today that my fit 2 was mo longer supported when I bought the s24 ultra. I was crushed lol. I had no idea the fit3 even existed until now. Great video
@Kiky_MedPhysicist,"Thank you so much, this is very helpfull",0,1y8E1qcIISc,"Thank you so much, this is very helpfull"
@akira-i3j,"hello, can you tell me if there's any badminton mode in the workout?",0,1y8E1qcIISc,"hello, can you tell me if there's any badminton mode in the workout?"
@gerrymiedamalerio7325,"i cannot connect, it says i need to reset my band first. what band?",0,1y8E1qcIISc,"i cannot connect, it says i need to reset my band first. what band?"
@cx6847,How do yo turn it on?,0,1y8E1qcIISc,How do yo turn it on?
@HP-in8pl,Can it control music like Spotify?,0,1y8E1qcIISc,Can it control music like Spotify?
@Jkr2260,"Bought this for my Bro, and very frustrated of how not seamless the initial settings for Samsung Wearable is. Your tutorial is very helpful. But for comparison, I use Huawei watch and it doesn’t require like 2-3 separate apps in the initial installation. It is seamless for both Android and iOS.",1,1y8E1qcIISc,"Bought this for my Bro, and very frustrated of how not seamless the initial settings for Samsung Wearable is. Your tutorial is very helpful. But for comparison, I use Huawei watch and it doesn’t require like 2-3 separate apps in the initial installation. It is seamless for both Android and iOS."
@brunospider,"thanks a lot, just got mine today and your video was very helpful. Subscribed",0,1y8E1qcIISc,"thanks a lot, just got mine today and your video was very helpful. Subscribed"
@RahulKapoor-k9q,I keep getting ghost steps. I am sitting still at the watch says I have done steps. Anyones done this? or have a solution?,1,1y8E1qcIISc,I keep getting ghost steps. I am sitting still at the watch says I have done steps. Anyones done this? or have a solution?
@bruceparker3139,"hey, does it show Cardio zones? like Zone 1 ,zone 2 heart rate while exercising?",1,1y8E1qcIISc,"hey, does it show Cardio zones? like Zone 1 ,zone 2 heart rate while exercising?"
@maverickriderJB,"This video is very helpful especially with the complicated steps to connect galaxy phones.
The steps are clear and detailed. But I found your speed of talking to be a bit slow. I watched the video in 1
25x",2,1y8E1qcIISc,"This video is very helpful especially with the complicated steps to connect galaxy phones.
The steps are clear and detailed. But I found your speed of talking to be a bit slow. I watched the video in 1
25x"
@maverickriderJB,"Don't get intimidated by the duration of 28mins. Watch in 1.25x, thank me later...",13,1y8E1qcIISc,"Don't get intimidated by the duration of 28mins. Watch in 1.25x, thank me later..."
@befree-k7k,Great and helpful. Thanks,1,1y8E1qcIISc,Great and helpful. Thanks
@kerbin_boi1181,will it work on iphone?,1,1y8E1qcIISc,will it work on iphone?
@MikeOBrienMedia,"Buy it on Amazon (affiliate) 👉 https://mikeobrienmedia.com/GalaxyFit3
What should I compare this to?",36,o8LxX7j7s_E,"Buy it on Amazon (affiliate) 👉 https://mikeobrienmedia.com/GalaxyFit3
What should I compare this to?"
@ItsHatlolOfficial,"I can't believe Samsung is hopping on the whole Huawei watch re-brands, like this is literally exactly the same as all the other Chinese watches",0,o8LxX7j7s_E,"I can't believe Samsung is hopping on the whole Huawei watch re-brands, like this is literally exactly the same as all the other Chinese watches"
@LindaMadlala,"Wow, so glad to know am not the only one that doesn't like ring tone ringing on my mobile phone 👌 have always set all my mobile devices/phones on vibrate.",0,o8LxX7j7s_E,"Wow, so glad to know am not the only one that doesn't like ring tone ringing on my mobile phone 👌 have always set all my mobile devices/phones on vibrate."
@tonygerera5704,"Its selling for 50 rn, and what sold me was the phone finder",0,o8LxX7j7s_E,"Its selling for 50 rn, and what sold me was the phone finder"
@dochollliday7452,"Just bought 2 weeks ago to replace my dead fitbit 2 versa. Did I almost screw up and buy a $600 Apple watch , thought about it. Considered a Garmin maybe, but decided to take a chance for $46 on this. And for what I need this thing does that and above what I need. I don't regret buying it. To each his own.😊",1,o8LxX7j7s_E,"Just bought 2 weeks ago to replace my dead fitbit 2 versa. Did I almost screw up and buy a $600 Apple watch , thought about it. Considered a Garmin maybe, but decided to take a chance for $46 on this. And for what I need this thing does that and above what I need. I don't regret buying it. To each his own.😊"
@eldoeldon7388,What means that orange dot on 1:03 on the left side of watch display,0,o8LxX7j7s_E,What means that orange dot on 1:03 on the left side of watch display
@FallenChaituGaming,"Hi mike , i am looking for a good fitband that can pair with my iphone and dont wanna get apple watch SE , so would you suggest me amazfit band 7 if i had a tight budget?",1,o8LxX7j7s_E,"Hi mike , i am looking for a good fitband that can pair with my iphone and dont wanna get apple watch SE , so would you suggest me amazfit band 7 if i had a tight budget?"
@mcgregor79790,Does it fits to social network? Messenger whats up viber?,0,o8LxX7j7s_E,Does it fits to social network? Messenger whats up viber?
@lukeandreassammut5284,Should I get this or the Xiaomi Smart band 9? Help please,1,o8LxX7j7s_E,Should I get this or the Xiaomi Smart band 9? Help please
@dysanti2618,Galaxy watch fe next please,0,o8LxX7j7s_E,Galaxy watch fe next please
@Brown86Power,"Just found this video and your link to Amazon. It's down to $50!
Great companion to my Galaxy Watch Ultra as a smaller and lighter version that I can use for more intense workouts.",0,o8LxX7j7s_E,"Just found this video and your link to Amazon. It's down to $50!
Great companion to my Galaxy Watch Ultra as a smaller and lighter version that I can use for more intense workouts."
@alicioussection_13,"hello Mike, this watch has a data like VO2 or running zone for running workout?",0,o8LxX7j7s_E,"hello Mike, this watch has a data like VO2 or running zone for running workout?"
@FrasSmith,"Did Samsung really ""write their own OS"" for this. It looks a lot like a skinned version of many of the generic white label fitness operating systems on so many Chinese watches of a similar price.",0,o8LxX7j7s_E,"Did Samsung really ""write their own OS"" for this. It looks a lot like a skinned version of many of the generic white label fitness operating systems on so many Chinese watches of a similar price."
@RyanOsborne-qf3pd,Can this connect to treadmills at the gym?,0,o8LxX7j7s_E,Can this connect to treadmills at the gym?
@nitinkumar29,Looks like a copy of Huawei or Honor bands. Exact copy in fact but Huawei/Honor support iOS support but Samsung doesn't support plus Huawei is better at heart rate and SpO2 measurement.,0,o8LxX7j7s_E,Looks like a copy of Huawei or Honor bands. Exact copy in fact but Huawei/Honor support iOS support but Samsung doesn't support plus Huawei is better at heart rate and SpO2 measurement.
@oscarcatshoe,"If Samsung produce a model with all the missing gps and iOS features say at 2x the price I would buy one. Samsung need to catch up with other producers in the market and there pricing. I have just shopped there foe a Galaxy A15 5G with a 25% discount for 150 uk pounds bargain and a microwave with a huge discount. When I bought the microwave first they asked my birthday date, a few days before my birthday they offered the the phone at that price, so I bought it great phone for my needs.",0,o8LxX7j7s_E,"If Samsung produce a model with all the missing gps and iOS features say at 2x the price I would buy one. Samsung need to catch up with other producers in the market and there pricing. I have just shopped there foe a Galaxy A15 5G with a 25% discount for 150 uk pounds bargain and a microwave with a huge discount. When I bought the microwave first they asked my birthday date, a few days before my birthday they offered the the phone at that price, so I bought it great phone for my needs."
@d.r.g.8917,Can you change the face? I mean the home screen?,0,o8LxX7j7s_E,Can you change the face? I mean the home screen?
@mikerod76,This dude has severely dirty fingernails,0,o8LxX7j7s_E,This dude has severely dirty fingernails
@nicholasbaker2904,I was interested till i saw no gps. Thats the deal breaker for me. I want a watch that can work independently from the phone so i can leave it at home and not be distracted on a run or whatever im doing,2,o8LxX7j7s_E,I was interested till i saw no gps. Thats the deal breaker for me. I want a watch that can work independently from the phone so i can leave it at home and not be distracted on a run or whatever im doing
@lumos758,"Hey man,
I'm big on using smart watch for reminders and alarms,
Quick question,Is there a limit on the number of reminders and alarms for a given day ?
Thanks for the video !!🙂",0,o8LxX7j7s_E,"Hey man,
I'm big on using smart watch for reminders and alarms,
Quick question,Is there a limit on the number of reminders and alarms for a given day ?
Thanks for the video !!🙂"
