Unnamed: 0,twitter_link,text,date,likes,comments,Translated_Tweet
0,https://twitter.com/Vashu270423/status/1834890979351949477#m,Fire-Boltt Dream smartwatch for Android and iOS compatibility,"Sep 14, 2024 · 9:44 AM UTC",0,0,Fire-Boltt Dream smartwatch for Android and iOS compatibility
1,https://twitter.com/Vashu270423/status/1834890814847135859#m,Affordable Fire-Boltt Dream smartwatch for fitness tracking,"Sep 14, 2024 · 9:43 AM UTC",0,0,Affordable Fire-Boltt Dream smartwatch for fitness tracking
2,https://twitter.com/Vashu270423/status/1834890545916731892#m,Best deals on Fire-Boltt Dream smartwatch 2024,"Sep 14, 2024 · 9:42 AM UTC",0,0,Best deals on Fire-Boltt Dream smartwatch 2024
3,https://twitter.com/JhaAnubhav75800/status/1830244285142171697#m,"This is the WORST experience I've ever had with a smartwatch! Bought your Fire Boltt Dream Android Smartwatch in January 2024, and it’s already DEAD after just 4-5 months of use. The watch won't turn on, the buttons are stucktotal garbage.THE SERVICE CENTR R CLOSENG","Sep 1, 2024 · 2:00 PM UTC",0,0,"This is the WORST experience I've ever had with a smartwatch! Bought your Fire Boltt Dream Android Smartwatch in January 2024, and it’s already DEAD after just 4-5 months of use. The watch won't turn on, the buttons are stucktotal garbage.THE SERVICE CENTR R CLOSENG"
4,https://twitter.com/JhaAnubhav75800/status/1830244018598363515#m,"@fireboltt__ This is the WORST experience I've ever had with a smartwatch! Bought your Fire Boltt Dream Android Smartwatch in January 2024, and it’s already DEAD after just 4-5 months of use. The watch won't turn on, the buttons are stucktotal garbage.THE SERVICE CENTR R CLOSENG","Sep 1, 2024 · 1:59 PM UTC",0,0,"@fireboltt__ This is the WORST experience I've ever had with a smartwatch! Bought your Fire Boltt Dream Android Smartwatch in January 2024, and it’s already DEAD after just 4-5 months of use. The watch won't turn on, the buttons are stucktotal garbage.THE SERVICE CENTR R CLOSENG"
5,https://twitter.com/BornCreatorYT/status/1825598246728904845#m,fire-boltt dream smart watch battery life #shorts,"Aug 19, 2024 · 6:18 PM UTC",1,0,fire-boltt dream smart watch battery life #shorts
6,https://twitter.com/BornCreatorYT/status/1824152230880219590#m,fire-boltt dream smart watch skins #shorts,"Aug 15, 2024 · 6:32 PM UTC",0,0,fire-boltt dream smart watch skins #shorts
7,https://twitter.com/RubyKumari41321/status/1822893650990223574#m,My favourite watch fire boltt dream,"Aug 12, 2024 · 7:11 AM UTC",0,0,My favourite watch fire boltt dream
8,https://twitter.com/fireboltt__/status/1817147857155326065#m,"Time to turn dreams into dazzling reality #TeamIndia. 🇮🇳  Go for gold, make it epic, and shine on champs! 🥇   #ParisOlympics2024 #fireboltt","Jul 27, 2024 · 10:39 AM UTC",7,0,"Time to turn dreams into dazzling reality #TeamIndia. 🇮🇳  Go for gold, make it epic, and shine on champs! 🥇   #ParisOlympics2024 #fireboltt"
9,https://twitter.com/PhoneCrunch/status/1816689952387924364#m,"Upgrade your wrist game with the Fire-Boltt Dream Smartwatch! Sleek design, 4G connectivity, and affordability make it a must-have gadget!  Read more - https://smartphonecrunch.com/nextgen-smart-tech-on-wrist/ #smartphonecrunch #IoT #TechInnovation #luxurylifestyle #MCStan #fitnesss #TechSavvy #ProductivityBoost","Jul 26, 2024 · 4:20 AM UTC",0,0,"Upgrade your wrist game with the Fire-Boltt Dream Smartwatch! Sleek design, 4G connectivity, and affordability make it a must-have gadget!  Read more - https://smartphonecrunch.com/nextgen-smart-tech-on-wrist/ #smartphonecrunch #IoT #TechInnovation #luxurylifestyle #MCStan #fitnesss #TechSavvy #ProductivityBoost"
10,https://twitter.com/BornCreatorYT/status/1801206105608949771#m,fire-boltt dream smart watch calling experience #shorts,"Jun 13, 2024 · 10:52 AM UTC",0,0,fire-boltt dream smart watch calling experience #shorts
11,https://twitter.com/BornCreatorYT/status/1800621747521409504#m,fire-boltt dream smart watch first look #shorts,"Jun 11, 2024 · 8:10 PM UTC",0,0,fire-boltt dream smart watch first look #shorts
12,https://twitter.com/BornCreatorYT/status/1800101722138009733#m,fire-boltt dream smart watch gaming experience #shorts,"Jun 10, 2024 · 9:44 AM UTC",0,0,fire-boltt dream smart watch gaming experience #shorts
13,https://twitter.com/BornCreatorYT/status/1799384659916427546#m,fire-boltt dream smart watch ip rating #fireboltt,"Jun 8, 2024 · 10:15 AM UTC",0,0,fire-boltt dream smart watch ip rating #fireboltt
14,https://twitter.com/BornCreatorYT/status/1799170582799651101#m,fire-boltt dream smart watch unboxing #fireboltt,"Jun 7, 2024 · 8:04 PM UTC",0,0,fire-boltt dream smart watch unboxing #fireboltt
15,https://twitter.com/BornCreatorYT/status/1798817042101063737#m,fire-boltt dream smart watch colors #fireboltt,"Jun 6, 2024 · 8:39 PM UTC",0,0,fire-boltt dream smart watch colors #fireboltt
16,https://twitter.com/Rajatsingh_raj/status/1796572599885152656#m,"@fireboltt__ @iamboltt We bought 4G Pro smart watch from your official fire boltt website but by mistake we bought 4G Pro whereas we want Dream 4G so please return this watch.Even after filing the complaint on the same day, there is no response from you people till now.","May 31, 2024 · 4:01 PM UTC",1,1,"@fireboltt__ @iamboltt We bought 4G Pro smart watch from your official fire boltt website but by mistake we bought 4G Pro whereas we want Dream 4G so please return this watch.Even after filing the complaint on the same day, there is no response from you people till now."
17,https://twitter.com/kartikeykac/status/1796204145013064082#m,@fireboltt__ Ridiculous service by your company. I had ordered Dream Watch and after that I came to know that I can't connect it with my android phone. I want to return watch and get my refund but not getting any revert of my mails from yesterday...,"May 30, 2024 · 3:36 PM UTC",0,1,@fireboltt__ Ridiculous service by your company. I had ordered Dream Watch and after that I came to know that I can't connect it with my android phone. I want to return watch and get my refund but not getting any revert of my mails from yesterday...
18,https://twitter.com/Harpreet72065/status/1795661124475691307#m,@fireboltt__ @fireboltt__ my dream smart watch is not after deeping in water and the display is not working now kindly do the needful to get them back,"May 29, 2024 · 3:39 AM UTC",0,0,@fireboltt__ @fireboltt__ my dream smart watch is not after deeping in water and the display is not working now kindly do the needful to get them back
19,https://twitter.com/RitvikRanj77852/status/1795363677161562302#m,"@flipkartsupport @Flipkart @fireboltt__  Today I bought firebolt dream wristphone and I am too much scared because it's too much expensive watch, and I got defective one it turn off in every 10 minutes and Flipkart is not returning that. I will be beaten from my parents","May 28, 2024 · 7:57 AM UTC",1,4,"@flipkartsupport @Flipkart @fireboltt__  Today I bought firebolt dream wristphone and I am too much scared because it's too much expensive watch, and I got defective one it turn off in every 10 minutes and Flipkart is not returning that. I will be beaten from my parents"
20,https://twitter.com/Nitesh805181/status/1791094254657573289#m,"😂😂 Mere sath bhi aisa hi scene tha, Fireboltt Dream ke time 😜","May 16, 2024 · 1:12 PM UTC",3,1,"क्या Mere Sath Bhi Aisa Hi Scene Tha, Firebolt Dream Ke Time 😜"
21,https://twitter.com/GeekmanOfficial/status/1790608656561766782#m,Don't Waste Your Money ⚠️ Fire Boltt Dream Review  #firebolttdream #firebolttsmartwatch #androidsmartwatch #android #watch #review #geekman,"May 15, 2024 · 5:02 AM UTC",3,1,Don't Waste Your Money ⚠️ Fire Boltt Dream Review  #firebolttdream #firebolttsmartwatch #androidsmartwatch #android #watch #review #geekman
22,https://twitter.com/PrasadMalvade13/status/1784144167716946284#m,@fireboltt__ @iamboltt I purchased a firebolt dream smartwatch on 24-04-2024 from the official website.Later I found that the received product is faulty. I was not able to type anything.all four corners and both side's touch wasn't working properly.,"Apr 27, 2024 · 8:54 AM UTC",0,0,@fireboltt__ @iamboltt I purchased a firebolt dream smartwatch on 24-04-2024 from the official website.Later I found that the received product is faulty. I was not able to type anything.all four corners and both side's touch wasn't working properly.
23,https://twitter.com/nareshmalakar/status/1783437213558034516#m,मैंने fire boltt की वेबसाईट से 10 जनवरी 2024 को एक fire baltt dream watch purchase की जिसका मोडेल नंबर Smartwatch BSW202 Midnight Steel 2.02 Android IMEI No : 357319540836312। दो  दिन बाद ही   watch मे प्रॉब्लेम आने  लग गई थी मैंने जब  प्रोडक्ट रिटर्न करवाना चाहा तो मुझे कस्टमर,"Apr 25, 2024 · 10:05 AM UTC",0,1,"I made a Fire Balt Dream Watch purchase on 10 January 2024 from Fire Boltt's website whose model number Smartwatch BSW202 Midnight Steel 2.02 Android IMEI NO: 357319540836312.Two days later, the problem started coming in the watch when I wanted to get the product returned, I was a customer"
24,https://twitter.com/NewsBima/status/1782087487411888174#m,fire boltt dream: fire boltt dream flipkart https://newsbima.com/fire-boltt-dream-flipkart/,"Apr 21, 2024 · 4:42 PM UTC",0,0,fire boltt dream: fire boltt dream flipkart https://newsbima.com/fire-boltt-dream-flipkart/
25,https://twitter.com/varun260389/status/1780902590256918973#m,@fireboltt__ unable to configure google account on my new fire boltt dream watch. Please help,"Apr 18, 2024 · 10:13 AM UTC",0,4,@fireboltt__ unable to configure google account on my new fire boltt dream watch. Please help
26,https://twitter.com/CVEnew/status/1779996613278052851#m,CVE-2024-30656 An issue in Fireboltt Dream Wristphone BSW202_FB_AAC_v2.0_20240110-20240110-1956 allows attackers to cause a Denial of Service (DoS) via a crafted deauth frame. https://www.cve.org/CVERecord?id=CVE-2024-30656,"Apr 15, 2024 · 10:13 PM UTC",1,0,CVE-2024-30656 An issue in Fireboltt Dream Wristphone BSW202_FB_AAC_v2.0_20240110-20240110-1956 allows attackers to cause a Denial of Service (DoS) via a crafted deauth frame. https://www.cve.org/CVERecord?id=CVE-2024-30656
27,https://twitter.com/PhoneCrunch/status/1779844115351617684#m,"Level up your #wrist game with the Fire-Boltt Dream #WristPhone! This #smartwatch does it all - calls, texts, apps, and more. Plus, it's super affordable at ₹7,999.  #smartphonecrunch #fireboltt #firebolttsmartwatch #wristwatch #watches #androidwatch #gadgets #tech #fitness","Apr 15, 2024 · 12:07 PM UTC",2,1,"Level up your #wrist game with the Fire-Boltt Dream #WristPhone! This #smartwatch does it all - calls, texts, apps, and more. Plus, it's super affordable at ₹7,999.  #smartphonecrunch #fireboltt #firebolttsmartwatch #wristwatch #watches #androidwatch #gadgets #tech #fitness"
28,https://twitter.com/FitAarav/status/1778988985920233968#m,Today's DEAL 👀  Fire-Boltt Infinity Luxe: The Smartwatch of Your Wildest Dreams!  Today's Price: ₹3399 Typical Price: ₹19999  https://www.amazon.in/Fire-Boltt-Stainless-Smartwatch-Bluetooth-Connectivity/dp/B0C499PX8V?tag=rajbreno0b-21,"Apr 13, 2024 · 3:30 AM UTC",0,0,Today's DEAL 👀  Fire-Boltt Infinity Luxe: The Smartwatch of Your Wildest Dreams!  Today's Price: ₹3399 Typical Price: ₹19999  https://www.amazon.in/Fire-Boltt-Stainless-Smartwatch-Bluetooth-Connectivity/dp/B0C499PX8V?tag=rajbreno0b-21
29,https://twitter.com/rahulawasthi911/status/1776126252421693738#m,I brought Dream WristPhone from #fireboltt on 10th Jan.24 now it's Volume and back cursor is not working I have tried to register complaint online at Fireboltt site but there site is just a fake like their products and the customer care number is not responding at all #fireboltt,"Apr 5, 2024 · 5:54 AM UTC",0,0,I brought Dream WristPhone from #fireboltt on 10th Jan.24 now it's Volume and back cursor is not working I have tried to register complaint online at Fireboltt site but there site is just a fake like their products and the customer care number is not responding at all #fireboltt
