Unnamed: 0,twitter_link,text,date,likes,comments,Translated_Tweet
0,https://twitter.com/dealsnofferhub/status/1837051573660156383#m,"Deal Price : ₹4,499.00 ✅ Regular Price : ₹5,999 ❌  https://amazon.in/dp/B0CFYNMFRF?tag=dealoffers0c8-21  Noise Newly Launched ColorFit Pro 5 Max 1.96″ AMOLED Display Smart Watch, BT Calling, Post Training Workout Analysis, VO2 Max, Rapid Health, 5X Faster Data Transfer – Space Blue","Sep 20, 2024 · 8:50 AM UTC",0,0,"Deal Price : ₹4,499.00 ✅ Regular Price : ₹5,999 ❌  https://amazon.in/dp/B0CFYNMFRF?tag=dealoffers0c8-21  Noise Newly Launched ColorFit Pro 5 Max 1.96″ AMOLED Display Smart Watch, BT Calling, Post Training Workout Analysis, VO2 Max, Rapid Health, 5X Faster Data Transfer – Space Blue"
1,https://twitter.com/ankursharma247/status/1836402480202006963#m,Noise colorfit 5 pro max 😍 #NoiseXZepto,"Sep 18, 2024 · 1:50 PM UTC",0,1,Noise colorfit 5 pro max 😍 #NoiseXZepto
2,https://twitter.com/NowItsRajeev/status/1836333654445851122#m,Noise Colorfit 5 pro max  watch  #noise @gonoise ✨💯😍,"Sep 18, 2024 · 9:17 AM UTC",0,1,Noise Colorfit 5 pro max  watch  #noise @gonoise ✨💯😍
3,https://twitter.com/pachaiyappan50/status/1836076377713283266#m,Noise colorfit 5 pro max #NoiseXZepto,"Sep 17, 2024 · 4:14 PM UTC",0,0,Noise colorfit 5 pro max #NoiseXZepto
4,https://twitter.com/Ankur_Raj_9168/status/1836062203692081256#m,Noise colorfit 5 pro max 😍 #NoiseXZepto,"Sep 17, 2024 · 3:18 PM UTC",0,0,Noise colorfit 5 pro max 😍 #NoiseXZepto
5,https://twitter.com/pankajsharmaKP/status/1836050675924369742#m,Noise colorfit 5 pro max 😍❤️‍🔥 #NoiseXZepto,"Sep 17, 2024 · 2:32 PM UTC",2,0,Noise colorfit 5 pro max 😍❤️‍🔥 #NoiseXZepto
6,https://twitter.com/LendeAbhishek/status/1836044826447380634#m,Noise colorfit 5 pro max #NoiseXZepto,"Sep 17, 2024 · 2:09 PM UTC",0,0,Noise colorfit 5 pro max #NoiseXZepto
7,https://twitter.com/18aniruddha/status/1836041379446653068#m,noise colorfit 5 pro max #NoiseXZepto,"Sep 17, 2024 · 1:55 PM UTC",0,0,noise colorfit 5 pro max #NoiseXZepto
8,https://twitter.com/Ankur_Raj_9168/status/1829604710132944980#m,Noise ColorFit Pro 5 Max Smartwatch ⌚  @gonoise #WorldofNoiseSale #NoiseAnniversary #Noise,"Aug 30, 2024 · 7:38 PM UTC",0,0,Noise ColorFit Pro 5 Max Smartwatch ⌚  @gonoise #WorldofNoiseSale #NoiseAnniversary #Noise
9,https://twitter.com/Ankur_Raj_9168/status/1829604632240550345#m,Noise ColorFit Pro 5 Max Smartwatch ⌚  #WorldofNoiseSale #NoiseAnniversary #Noise,"Aug 30, 2024 · 7:38 PM UTC",0,0,Noise ColorFit Pro 5 Max Smartwatch ⌚  #WorldofNoiseSale #NoiseAnniversary #Noise
10,https://twitter.com/ShrijanPrakash/status/1817246377774375013#m,"@gonoise , a very unprofessional company. I have ordered noise colorfit pro 5 max from your website in dec 2023 and it is in warranty right now. I have raised complaint about shaky screen and you have initiated a reverse pickup. Now you emailed me saying the product is set…(1)","Jul 27, 2024 · 5:11 PM UTC",1,2,"@gonoise , a very unprofessional company. I have ordered noise colorfit pro 5 max from your website in dec 2023 and it is in warranty right now. I have raised complaint about shaky screen and you have initiated a reverse pickup. Now you emailed me saying the product is set…(1)"
11,https://twitter.com/EJOYEVEDAY/status/1815965114895372790#m,"Limited-time deal: Noise Newly Launched ColorFit Pro 5 Max 1.96"" AMOLED Display Smart Watch, BT Calling, Post Training Workout Analysis, VO2 Max, Rapid Health, 5X Faster Data Transfer - Elite Black https://amzn.in/d/0eIqSzCh #Amazon via @Amazon","Jul 24, 2024 · 4:19 AM UTC",0,0,"Limited-time deal: Noise Newly Launched ColorFit Pro 5 Max 1.96"" AMOLED Display Smart Watch, BT Calling, Post Training Workout Analysis, VO2 Max, Rapid Health, 5X Faster Data Transfer - Elite Black https://amzn.in/d/0eIqSzCh #Amazon via @Amazon"
12,https://twitter.com/AjayD2021/status/1815442433192132947#m,"Limited-time deal: Noise Newly Launched ColorFit Pro 5 Max 1.96"" AMOLED Display Smart Watch, BT Calling, Post Training Workout Analysis, VO2 Max, Rapid Health, 5X Faster Data Transfer - Elite Black https://amzn.in/d/0g7bPbSI #Amazon via @Amazon","Jul 22, 2024 · 5:43 PM UTC",0,0,"Limited-time deal: Noise Newly Launched ColorFit Pro 5 Max 1.96"" AMOLED Display Smart Watch, BT Calling, Post Training Workout Analysis, VO2 Max, Rapid Health, 5X Faster Data Transfer - Elite Black https://amzn.in/d/0g7bPbSI #Amazon via @Amazon"
13,https://twitter.com/rahuldhawan291/status/1815306026553606196#m,"@gonoise @itsgauravkhatri I recently ordered a Noise Colorfit Pro 5 Max, but the package arrived with a broken seal and an empty box. This is extremely disappointing. Please assist in resolving this issue as soon as possible. Order ID: [4556360]. #gonoise #ScamAlert @BlueDart_","Jul 22, 2024 · 8:40 AM UTC",0,1,"@gonoise @itsgauravkhatri I recently ordered a Noise Colorfit Pro 5 Max, but the package arrived with a broken seal and an empty box. This is extremely disappointing. Please assist in resolving this issue as soon as possible. Order ID: [4556360]. #gonoise #ScamAlert @BlueDart_"
14,https://twitter.com/Ayush_Ch7/status/1812442744293335274#m,Pebble Royale Or Pebble Zenith Else Noise colorfit pro Max 5 is also good,"Jul 14, 2024 · 11:03 AM UTC",0,0,Pebble Royale Or Pebble Zenith Else Noise colorfit pro Max 5 is also good
15,https://twitter.com/Getesti/status/1811618996191658365#m,"Today's DEAL 👀  Elite Black: Your All-In-One Smart Watch - Noise ColorFit Pro 5 Max | 1.96 AMOLED Display, BT Calling, Real-Time Workout Analysis, Maximized Health & More!  Today's Price: ₹4299 Typical Price: ₹10999  https://www.amazon.in/Noise-Launched-ColorFit-Training-Analysis/dp/B0CFYM59QD?tag=rajbreno0b-21","Jul 12, 2024 · 4:30 AM UTC",0,0,"Today's DEAL 👀  Elite Black: Your All-In-One Smart Watch - Noise ColorFit Pro 5 Max | 1.96 AMOLED Display, BT Calling, Real-Time Workout Analysis, Maximized Health & More!  Today's Price: ₹4299 Typical Price: ₹10999  https://www.amazon.in/Noise-Launched-ColorFit-Training-Analysis/dp/B0CFYM59QD?tag=rajbreno0b-21"
16,https://twitter.com/Gagankumarjha92/status/1810667964049625311#m,"ColorFit Pro 5 Max  1.96"" Amoled, VO₂ Max & Rapid Health, Customized Button, SOS Alerts, DIY Watchfaces  ₹4399  Link :- https://tinyurl.com/yc2sn4kh #Smartwatch #NoiseOutMusicIn #Colorfitpro5max #Noise #SmartFLASH","Jul 9, 2024 · 1:30 PM UTC",0,0,"ColorFit Pro 5 Max  1.96"" Amoled, VO₂ Max & Rapid Health, Customized Button, SOS Alerts, DIY Watchfaces  ₹4399  Link :- https://tinyurl.com/yc2sn4kh #Smartwatch #NoiseOutMusicIn #Colorfitpro5max #Noise #SmartFLASH"
17,https://twitter.com/xtra_deals/status/1809679422905282660#m,"Noise Newly Launched ColorFit Pro 5 Max 1.96"" AMOLED Display Smart Watch, BT Calling, Post Training   🔹 Offer price-₹4,499  🔹 MRP-₹9,999  🔹 Saving: -55%  ✨ Reviews-4.1 out of 5 stars  ✨ Category- #computers https://www.amazon.in/Noise-Launched-ColorFit-Training-Analysis/dp/B0CFYNMFRF?tag=xd027-21 #deal #loot","Jul 6, 2024 · 8:02 PM UTC",0,0,"Noise Newly Launched ColorFit Pro 5 Max 1.96"" AMOLED Display Smart Watch, BT Calling, Post Training   🔹 Offer price-₹4,499  🔹 MRP-₹9,999  🔹 Saving: -55%  ✨ Reviews-4.1 out of 5 stars  ✨ Category- #computers https://www.amazon.in/Noise-Launched-ColorFit-Training-Analysis/dp/B0CFYNMFRF?tag=xd027-21 #deal #loot"
18,https://twitter.com/OurTopix10/status/1809640959250166263#m,"Today's DEAL 👀  Fit, Fun, and Faster: Noise's ColorFit Pro 5 Max Smart Watch - Now with BT Calling, VO2 Max, and Rapid Health!  Today's Price: ₹4499 Typical Price: ₹9999  https://www.amazon.in/Noise-Launched-ColorFit-Training-Analysis/dp/B0CFYM8ZY9?tag=rajbreno0b-21","Jul 6, 2024 · 5:30 PM UTC",0,0,"Today's DEAL 👀  Fit, Fun, and Faster: Noise's ColorFit Pro 5 Max Smart Watch - Now with BT Calling, VO2 Max, and Rapid Health!  Today's Price: ₹4499 Typical Price: ₹9999  https://www.amazon.in/Noise-Launched-ColorFit-Training-Analysis/dp/B0CFYM8ZY9?tag=rajbreno0b-21"
19,https://twitter.com/Ag4343Vishal/status/1808897104963850441#m,"Hey amazon @amazonIN @AmazonHelp   i have purchased  Noise Newly Launched ColorFit Pro 5 Max 1.96"" AMOLED Display Smart Watch, I’ve received defective piece. Both Amazon and noise customer care are not helping. Please help me out. Order No: 402-7154004-8676321","Jul 4, 2024 · 4:14 PM UTC",2,1,"Hey amazon @amazonIN @AmazonHelp   i have purchased  Noise Newly Launched ColorFit Pro 5 Max 1.96"" AMOLED Display Smart Watch, I’ve received defective piece. Both Amazon and noise customer care are not helping. Please help me out. Order No: 402-7154004-8676321"
20,https://twitter.com/techlogicsindia/status/1808882924617417104#m,"Noise Newly Launched ColorFit Pro 5 Max 1.96"" AMOLED Display Smart Watch, BT Calling, Post Training Workout Analysis, VO2 Max, Rapid Health, 5X Faster Data Transfer - Space Blue https://amzn.to/4cucxVo via @amazon","Jul 4, 2024 · 3:17 PM UTC",0,0,"Noise Newly Launched ColorFit Pro 5 Max 1.96"" AMOLED Display Smart Watch, BT Calling, Post Training Workout Analysis, VO2 Max, Rapid Health, 5X Faster Data Transfer - Space Blue https://amzn.to/4cucxVo via @amazon"
21,https://twitter.com/bharatwce/status/1804166204573282512#m,"I had placed an order for a Noise ColorFit Pro 5 Max Smartwatch Hoop Edition. However, I received the Noise ColorFit Pro Max in Classic Brown instead. I kindly request your assistance in resolving this issue by sending me the correct product that I ordered.","Jun 21, 2024 · 2:55 PM UTC",0,1,"I had placed an order for a Noise ColorFit Pro 5 Max Smartwatch Hoop Edition. However, I received the Noise ColorFit Pro Max in Classic Brown instead. I kindly request your assistance in resolving this issue by sending me the correct product that I ordered."
22,https://twitter.com/CommerceXcel/status/1802038046512271407#m,"Noise ColorFit Pro 5 Max 1.96"" AMOLED Display Smart Watch @ ₹3,799*  🔗https://amzn.to/4bWajxQ  ✅ *Flat ₹200 Instant Discount on SBI Credit card","Jun 15, 2024 · 5:58 PM UTC",0,0,"Noise ColorFit Pro 5 Max 1.96"" AMOLED Display Smart Watch @ ₹3,799*  🔗https://amzn.to/4bWajxQ  ✅ *Flat ₹200 Instant Discount on SBI Credit card"
23,https://twitter.com/RizwanaBeg35069/status/1798476796528402472#m,"Limited-time deal: Noise Newly Launched ColorFit Pro 5 Max 1.96"" AMOLED Display Smart Watch, BT Calling, Post Training Workout Analysis, VO2 Max, Rapid Health, 5X Faster Data Transfer - Elite Black https://amzn.in/d/iADh7d6 #Amazon via @Amazon https://amzn.to/3V9qqkp","Jun 5, 2024 · 10:07 PM UTC",0,0,"Limited-time deal: Noise Newly Launched ColorFit Pro 5 Max 1.96"" AMOLED Display Smart Watch, BT Calling, Post Training Workout Analysis, VO2 Max, Rapid Health, 5X Faster Data Transfer - Elite Black https://amzn.in/d/iADh7d6 #Amazon via @Amazon https://amzn.to/3V9qqkp"
24,https://twitter.com/RizwanaBeg35069/status/1798476532626907452#m,"Limited-time deal: Noise Newly Launched ColorFit Pro 5 Max 1.96"" AMOLED Display Smart Watch, BT Calling, Post Training Workout Analysis, VO2 Max, Rapid Health, 5X Faster Data Transfer - Elite Black https://amzn.in/d/c2rVYgn #Amazon via @Amazon https://amzn.to/4bOLsvK","Jun 5, 2024 · 10:06 PM UTC",0,0,"Limited-time deal: Noise Newly Launched ColorFit Pro 5 Max 1.96"" AMOLED Display Smart Watch, BT Calling, Post Training Workout Analysis, VO2 Max, Rapid Health, 5X Faster Data Transfer - Elite Black https://amzn.in/d/c2rVYgn #Amazon via @Amazon https://amzn.to/4bOLsvK"
25,https://twitter.com/CommerceXcel/status/1796756417061536255#m,"Noise Newly Launched ColorFit Pro 5 Max  Silicone Strap @ ₹3,999   🔗https://amzn.to/4bIqVJe","Jun 1, 2024 · 4:11 AM UTC",0,0,"Noise Newly Launched ColorFit Pro 5 Max  Silicone Strap @ ₹3,999   🔗https://amzn.to/4bIqVJe"
